"action","keyword","token","upos","xpos","n_docs"
"x","bilateral","bilateral,Bilateral","ADJ,NOUN,X,VERB,ADV","JJ,NN,FW,VB,RB",246
"x","bilaterally","bilaterally","ADV","RB",30
"x","bilayer","bilayer,bilayers","NOUN","NN,NNS",309
"","bile","bile,Bile","NOUN,ADJ,VERB,X,ADV,SCONJ,PROPN","NN,JJ,VBP,VB,GW,RB,IN,NNP",362
"bile","biliary","biliary,BILIARY","ADJ,NOUN,PROPN","JJ,NN,NNP",77
"bile","bilirubin","bilirubin,Bilirubin","NOUN,ADP,PROPN,VERB","NN,IN,NNP,VB,VBG",75
"bile","biliverdin","biliverdin","ADP,NOUN","IN,NN,NNS",21
"","bind","bound,binding,bind,binds,Binding,Binds,BINDING","ADJ,NOUN,VERB,ADP,PROPN,SCONJ,PRON","JJ,NN,VBG,VB,VBP,VBZ,IN,NNS,NNP",9959
"x","bioactive","bioactive","ADJ","JJ",24
"x","biochemical","biochemical,Biochemical","ADJ,NOUN","JJ,NN",463
"x","biofilm","biofilm,biofilms,BIOFILMS","NOUN,ADJ,PROPN","NN,NNS,JJ,NNP",55
"","biogenesis","biogenesis","NOUN,VERB,PRON,PROPN,ADJ,DET","NN,VBZ,PRP,NNPS,NNP,JJ,DT",263
"","biogenic","biogenic","ADJ,NOUN","JJ,NN",36
"x","biologic","biologic","NOUN,ADJ","NN,JJ",39
"x","biological","biological,Biological","ADJ","JJ",520
"x","biologically","Biologically,biologically","ADV,ADJ,VERB","RB,JJ,VB",76
"","biomarker","biomarker,biomarkers,BIOMARKERS","NOUN","NN,NNS",48
"","biopsy","biopsy,biopsies,Biopsy","NOUN,ADJ","NN,NNS,JJ",80
"","biosynthesis","biosynthesis,Biosynthesis","NOUN,PRON,VERB,PROPN,DET","NN,PRP$,VBZ,NNP,DT,NNPS",738
"biosynthesis","biosynthetic","biosynthetic","ADJ,NOUN,X","JJ,NN,GW",2180
"","biotic","biotic","ADJ,NOUN","JJ,NN",29
"","biotin","biotin,Biotin","NOUN,PROPN,ADP,VERB,ADV","NN,NNP,IN,VB,VBN,RB",92
"x","bipartite","bipartite","NOUN,ADJ","NN,JJ",22
"x","biphenyl","biphenyl,Biphenyl,biphenyls","NOUN,PROPN,ADJ,VERB","NN,NNP,NNS,JJ,VB",32
"x","bipolar","bipolar,Bipolar","ADJ,VERB,NOUN","JJ,VB,NN",151
"x","bird","birds,bird","NOUN","NNS,NN",54
"x","birth","birth,births,BIRTH,Birth","NOUN,PROPN,ADP","NN,NNS,NNP,IN",360
"x","bis","bis,Bis","NOUN,DET","NNS,NN,DT",148
"x","bisphosphate","bisphosphate","NOUN,ADJ,VERB,ADV","NN,JJ,VB,RB",308
"x","bisphosphonate","Bisphosphonates,bisphosphonate,bisphosphonates,BISPHOSPHONATES","NOUN,ADJ","NNS,JJ,NN",21
"x","bite","bite,bitten,biting,bites,bits,Bites,Bite","NOUN,ADJ,VERB,ADV","NN,JJ,VBN,VBG,VB,NNS,RB",197
"x","bitter","bitter","ADJ,NOUN","JJ,NN",57
"x","black","black,Black,'black","ADJ,PROPN,VERB,NOUN","JJ,NNP,VB,NN",62
"","bladder","bladder,Bladder,BLADDER,bladder.,bladders","NOUN,PROPN","NN,NNP,NNS",290
"x","blast","blasting,Blast,blasts,blast,Blasts","ADJ,NOUN","JJ,NNS",25
"x","bleed","bleeding,bleed,bleeds,Bleeding,BLEEDING","NOUN,VERB,ADJ,PRON","NN,VBG,VB,NNS,JJ,VBN",238
"","blindness","blindness,Blindness","NOUN,VERB","NN,VB",105
"","blister","blistering,blisters,blistered,blister,Blistering,Blisters","NOUN,VERB,ADJ","NN,VBG,NNS,VBN,VB,JJ",97
"x","block","block,blocks,blocking,blocked,Blocks,Blocking,Blocked,Block","VERB,NOUN,ADJ","VB,VBZ,VBG,NNS,VBP,NN,VBN,JJ",261
"x","blockage","blockage,blockages,Blockage","NOUN,VERB","NN,NNS,VBN",57
"x","blocker","blockers,blocker","NOUN,ADP","NNS,NN,IN",76
"","blood","Blood,blood,blooded,BLOOD","NOUN,PROPN,VERB,ADJ","NN,NNP,VBN,JJ",3928
"x","bloodstream","bloodstream,bloodstreams","NOUN","NN,NNS",79
"x","blue","blue,Blue","ADJ,PROPN,VERB,NOUN","JJ,NNP,VB,NN",122
"x","bluish","bluish,Bluish","ADJ,NOUN,INTJ","JJ,NN,UH",26
"x","blur","blurred,blurring","ADJ,VERB,NOUN","JJ,VBG,NN",22
"x","bodily","bodily,Bodily","ADJ,NOUN,ADV","JJ,NN,RB",32
"x","body","bodies,body,Body,BODIES","NOUN,PROPN,VERB,ADJ","NNS,NN,NNP,VBZ,JJ",2392
"x","bond","bond,bonding,bonds,bonded","NOUN,VERB,ADJ","NN,VBG,NNS,VBD,VBN,JJ,VBZ,VB",1219
"x","bone","bone,bones,Bone,BONES","NUM,VERB,NOUN,ADJ,PRON,PROPN","CD,VB,NN,NNS,JJ,PRP,NNP,VBN",2438
"x","bony","bony,Bony","NOUN,ADJ,DET,VERB","NN,JJ,DT,VB",286
"x","border","border,borders,bordered","NOUN,VERB","NN,NNS,VBN,VBZ",169
"x","bottom","bottom","NOUN,ADJ","NN,JJ",33
"x","botulinum","botulinum","NOUN,PROPN","NN,NNP",29
"x","bound","bounded,bounding,bounds","VERB,ADJ,NOUN","VBN,VBD,JJ,NNS,VBG,VBZ",178
"x","boundary","boundaries,boundary","NOUN,VERB,ADJ,X","NNS,NN,VBZ,JJ,GW,VB",125
"x","bouton","bouton,boutons","NOUN","NN,NNS",28
"x","bovine","bovine,Bovine","NOUN,VERB,NUM,PROPN","NN,VB,CD,NNP",24
"x","bow","bowing,bowed,bow,Bowing","NOUN,VERB,PROPN","NN,VBN,VBG,VB,NNP",33
"","bowel","bowel,Bowel,bowels","NOUN,PROPN","NN,NNP,NNS",124
"x","bowman","Bowman","PROPN,ADJ","NNP,JJ",48
"x","box","box,Box,boxes,boxing","NOUN,PROPN,VERB","NN,NNS,NNP,VB",1031
"x","bp","bp,BPS","NOUN,PROPN","NN,NNP",129
"x","brachydactyly","brachydactyly","ADV,ADJ,NOUN","RB,JJ,NN",57
"x","bracket","bracketed,bracket,Bracket","VERB,NOUN","VBN,NN,VB",76
"x","bradykinin","bradykinin,Bradykinin","NOUN,VERB,ADP,PROPN","NN,VBG,IN,NNP,VB",36
"","brain","brain,Brain,brains,BRAIN","NOUN,PROPN,VERB,ADJ","NN,NNP,VB,NNS,VBP,JJ",1672
"x","brainstem","brainstem","NOUN","NN",96
"x","branch","branch,branched,branching,branches,Branched,Branch,Branching","NOUN,VERB,ADJ","NN,VBN,VBG,NNS,VB,JJ,VBD,VBZ,VBP",720
"x","branchial","branchial","ADJ,NOUN","JJ,NN",42
"x","brassinosteroid","brassinosteroid,brassinosteroids","NOUN,ADJ,VERB,X","NN,JJ,NNS,VB,AFX,VBD",35
"x","break","breaks,break,broken,breaking,Broken,Breaks,BREAKS,Break","NOUN,VERB,ADJ,PROPN","NNS,VBZ,NN,JJ,VB,VBN,VBG,VBP,VBD,NNP",463
"x","breakage","breakage,breakages,Breakage","NOUN,VERB","NN,NNS,VB",141
"x","breakdown","breakdown,Breakdown","NOUN,ADP,ADJ","NN,IN,JJ",1233
"x","breakpoint","breakpoint,breakpoints,breakpoint.","NOUN,VERB","NN,NNS,VBD",53
"","breast","breast,breasts,Breast,breast.,BREAST","NOUN,VERB,ADJ,PROPN,ADV","NN,NNS,VB,JJS,JJ,NNP,RBS",488
"","breath","breath,breaths,Breath","NOUN,PROPN,ADP","NN,NNS,NNP,IN",67
"breath","breathe","breathing,breathe,Breathing","VERB,NOUN,AUX,DET","VBG,NN,VB,DT",114
"x","bridge","bridge,bridges,bridging,bridged,Bridging,BRIDGING","NOUN,VERB,ADJ,PROPN","NN,NNS,VBP,JJ,VBZ,VBG,VBN,VB,NNP",169
"x","brief","brief,Brief,briefer","ADJ,NOUN","JJ,NN,JJR",44
"x","bright","brighter,Bright,bright","NOUN,PROPN,ADJ,VERB,AUX","NN,NNP,JJ,VB,JJR,MD",29
"x","bring","brings,brought,bringing,bring,Bringing","VERB","VBZ,VBN,VBG,VB,VBD",138
"x","broad","broad,broader,Broad","ADJ,VERB,PROPN,NOUN","JJ,VBD,JJR,NNP,NN",297
"x","broadly","broadly","ADV,ADJ","RB,JJ",23
"x","bromodomain","bromodomain,bromodomains","NOUN,ADP,ADJ","NN,IN,NNS,JJ",26
"bronchiole","bronchial","bronchial,Bronchial","ADJ","JJ",57
"","bronchiole","bronchiole,bronchioles,BRONCHIOLES","NOUN","NN,NNS",39
"bronchiole","bronchus","bronchus,bronchi,bronchi.,BRONCHI,Bronchus","NOUN,CCONJ,ADJ,X,ADP,INTJ,PROPN,PRON","NN,CC,NNS,JJ,ADD,IN,UH,NNP,PRP",122
"x","brown","brown,Brown,browning","ADJ,VERB,NOUN,X,PROPN,ADV,ADP","JJ,VBN,NN,GW,NNP,VBG,RB,RP",118
"x","brush","brushing,brush,brushings","VERB,ADJ,NOUN","VBG,JJ,NN,NNS,VB",50
"x","bubble","bubble,bubbles","NOUN,ADJ,VERB","NN,NNS,JJ,VB",23
"x","bud","budding,bud,buds,Budding,budded,Bud","NOUN,VERB,ADJ,AUX,PROPN","NN,VBG,JJ,NNS,VBN,VBP,VBZ,MD,VBD,NNP,VB",460
"x","build","build,built,building,builds,buildings","NOUN,VERB","NN,VBN,VB,NNS,VBP,VBG",58
"x","bulb","bulb,bulbs","NOUN,X","NN,GW,NNS",59
"x","bulbar","bulbar,Bulbar","NOUN,ADJ,PROPN","NN,JJ,NNP",25
"x","bulge","bulged,bulge,bulges,bulging","VERB,NOUN","VBN,NN,NNS,VB,VBG,VBP",56
"x","bulk","bulk,Bulk","NOUN,VERB,ADJ","NN,VB,JJ",31
"x","bullet","Bullet,bullet","VERB,NOUN","VB,NN",61
"x","bullosa","bullosa,bullosa.","NOUN","NN",43
"x","bundle","bundle,bundles,bundling,bundled,Bundles,BUNDLE,Bundle","NOUN,VERB,PROPN","NN,NNS,VB,VBN,VBG,NNP",301
"x","burn","burning,burns,Burn,burn,BURNS,Burns","VERB,NOUN,PROPN,ADJ","VBG,NNS,NNP,NN,JJ,VB",52
"x","burst","burst,bursts,bursting,Bursting,Bursts","NOUN,ADJ,VERB","NN,NNS,JJS,VBG,JJ",40
"x","butyrate","butyrate","NOUN,VERB,ADJ","NN,VB,JJ",28
"x","butyryl","butyryl","PROPN,NOUN,AUX,INTJ","NNP,NN,MD,UH",25
"x","bypass","bypass,bypassing,bypasses","NOUN,VERB","NN,VBG,VB,VBZ,VBP",27
"","cAMP","cAMP","NOUN,PROPN,VERB,ADJ","NN,NNP,NNS,VB,JJ",232
"","cGMP","cGMP","PROPN,NOUN,SYM,VERB","NNP,NNS,NN,NFP,VB",89
"x","cable","cable,cables","NOUN,ADJ","NN,JJ,NNS",38
"","cadherin","cadherin,cadherins","NOUN,VERB,X,PROPN,ADV,ADP","NN,NNS,VB,GW,NNP,VBG,RB,IN",370
"x","cadmium","cadmium,Cadmium","NOUN,VERB,PROPN","NN,VB,NNP",42
"","caenorhabditis","Caenorhabditis","PROPN,NOUN","NNP,NNS",27
"x","caffeine","caffeine,Caffeine","NOUN,PROPN,VERB,NUM","NN,NNP,VB,CD",20
"x","caffeoyl","caffeoyl","NOUN,AUX,VERB,INTJ","NN,MD,VB,UH",33
"","calcaneus","calcaneus","NOUN","NN",21
"","calcification","calcification,calcifications,Calcification,Calcifications","NOUN","NN,NNS",161
"calcification","calcify","calcified,calcify,Calcified,calcifies","VERB,NOUN","VBN,VB,NNS",20
"x","calcineurin","calcineurin","NOUN,VERB,ADP,X,PROPN,ADV","NN,VB,IN,GW,VBP,NNP,RB,VBG",66
"","calcitonin","calcitonin,Calcitonin","NOUN,ADP,VERB,PROPN","NN,IN,VB,VBP,NNP",64
"x","calcitriol","calcitriol","NOUN,VERB,PROPN,INTJ","NN,VB,NNP,UH",21
"","calcium","calcium,calcium:,Calcium,calcium\,CALCIUM","NOUN,VERB,SYM,PROPN,ADJ","NN,VB,VBP,NFP,NNP,JJ",1730
"x","calculus","calculi,Calculi,calculus,CALCULI","NOUN,PROPN","NNS,NN,NNP",23
"x","calf","calf,calves","NOUN","NN,NNS",21
"x","caliber","caliber","NOUN","NN",22
"x","call","called,calling,calls,Call","VERB,NOUN","VBD,VBN,VBG,NNS,VB",713
"","callosum","callosum","NOUN","NN",97
"","calmodulin","calmodulin,Calmodulin","VERB,NOUN,ADP,PROPN,ADJ","VBP,NN,IN,VB,NNP,VBG,JJ",159
"","calpain","calpains,calpain,Calpains,Calpain","NOUN,PROPN,ADP","NNS,NN,NNP,IN",63
"x","camera","camera","NOUN","NN",57
"x","can","can,Can,could","AUX,NOUN","MD,NN",6332
"x","canal","canals,canal,CANAL,CANALS,Canals","NOUN,PROPN,ADJ","NNS,NN,NNP,JJ",282
"","cancer","cancer,cancers,Cancer,Cancers","NOUN,VERB,PROPN,ADJ","NN,NNS,VB,NNP,JJ",1957
"","candida","Candida,candida","PROPN,NOUN","NNP,NN",32
"x","candidate","candidate,candidates","NOUN","NN,NNS",260
"","cannabinoid","cannabinoid,Cannabinoids,cannabinoids","NOUN,VERB,X,ADJ","NN,NNS,VB,AFX,VBD,JJ",33
"x","canonical","canonical,Canonical","NOUN,ADJ,X,PROPN","NN,JJ,ADD,NNP",146
"","canthus","canthus","NOUN","NN",23
"x","cap","cap,Cap,capping,caps,capped,CAPS,Capping","NOUN,VERB,PROPN","NN,NNS,VBN,VBD,VBZ,VB,VBG,NNP,VBP",2194
"x","capable","capable","ADJ","JJ",263
"x","capacity","capacity,capacities","NOUN","NN,NNS",154
"","capillary","capillaries,capillary,Capillary,CAPILLARIES","NOUN,ADJ,VERB","NNS,NN,JJ,VB",270
"x","capsid","capsid,capsids","NOUN,AUX,X,ADJ,VERB","NN,VBD,AFX,NNS,JJ,VBN",181
"","capsomere","capsomeres,capsomere","NOUN","NNS,NN",32
"x","capsule","capsule,capsules,Capsules,CAPSULES","NOUN,VERB,SCONJ","NN,NNS,VB,VBZ,IN",199
"x","capture","Capturing,capture,capturing,captured","VERB,NOUN","VBG,NN,VB,VBP,VBN",21
"x","carbamoyl","carbamoyl,}carbamoyl","NOUN,AUX,PROPN,VERB","NN,MD,NNP,VB",55
"","carbohydrate","carbohydrate,carbohydrates,Carbohydrates,carbohydrate:,Carbohydrate","NOUN,VERB,ADJ,SYM,PROPN","NN,NNS,VB,VBP,JJ,VBZ,NFP,NNP",449
"x","carbon","carbon,Carbon,carbons","NOUN,PROPN,VERB","NN,NNP,NNS,VB",966
"x","carbonic","carbonic,Carbonic","NOUN,ADJ,PROPN","NN,JJ,NNP",38
"x","carbonyl","carbonyl,Carbonyl","NOUN,PROPN,AUX","NN,NNP,MD",61
"carboxylation","carboxy","carboxy","NOUN,VERB,X,ADJ","NN,VBP,VB,GW,JJ",178
"carboxylation","carboxyl","carboxyl","NOUN,VERB,AUX","NN,VB,MD,VBP",185
"carboxylation","carboxylase","carboxylase,carboxylases","NOUN","NN,NNS",104
"carboxylation","carboxylate","carboxylate,carboxylates","NOUN,VERB","NN,NNS,VBZ",190
"","carboxylation","carboxylation,Carboxylation","NOUN","NN",33
"carboxylation","carboxylic","carboxylic,Carboxylic","ADJ,NOUN,X","JJ,NN,GW",126
"","carboxypeptidase","carboxypeptidase,carboxypeptidases","NOUN,ADJ","NN,NNS,JJ",40
"carcinogenesis","carcinogen","carcinogen,carcinogens","NOUN,ADV","NN,NNS,RB",35
"","carcinogenesis","carcinogenesis,Carcinogenesis","NOUN,PROPN,PRON","NN,NNP,DT",53
"carcinogenesis","carcinogenic","carcinogenic","ADJ,NOUN","JJ,NN",23
"","carcinoma","carcinomas,carcinoma,carcinoma.,CARCINOMAS,Carcinoma,Carcinomas","NOUN,SCONJ,PROPN,X","NNS,NN,IN,NNP,GW",661
"","cardiac","cardiac,Cardiac,CARDIAC","NOUN,ADJ,PROPN,X","NN,JJ,NNP,LS",1114
"","cardioblast","cardioblast,cardioblasts","NOUN,ADJ","NN,NNS,JJ",79
"","cardiolipin","cardiolipin","NOUN,ADP,VERB","NN,IN,VB",30
"","cardiomyocyte","cardiomyocytes,cardiomyocyte","NOUN,VERB","NNS,NN,VBD",69
"","cardiomyopathy","cardiomyopathy,Cardiomyopathy,CARDIOMYOPATHIES","NOUN,PROPN,ADJ,VERB","NN,NNP,JJ,VB,NNS",210
"","cardiovascular","cardiovascular,Cardiovascular,CARDIOVASCULAR","ADJ,NOUN,VERB,PROPN","JJ,NN,VB,NNP",181
"x","care","care,cared,cares,caring","NOUN,VERB","NN,VBN,VBZ",25
"x","cargo","cargo,Cargo,cargos,cargoes","NOUN,PROPN,VERB","NN,NNP,NNS,VB,VBP",143
"x","carnitine","carnitine,Carnitine","NOUN,PROPN,NUM,VERB,X","NN,NNP,CD,VB,GW",122
"x","carotene","carotenes,carotene","NOUN,VERB","NNS,NN,VB,VBP",78
"x","carotenoid","carotenoids,carotenoid,Carotenoids,Carotenoid","NOUN,X,ADJ,VERB,PROPN","NNS,NN,AFX,JJ,VBD,VB,NNP",57
"x","carotid","carotid,CAROTID","NOUN,PROPN,VERB","NN,NNP,VB",117
"carpel","carpal","carpal,carpals,Carpal","NOUN,ADJ","NN,JJ,NNS",47
"","carpel","carpel,carpels","NOUN,VERB","NN,NNS,VB",26
"x","carrier","carrier,carriers,Carrier","NOUN,VERB,PROPN,ADJ,ADV","NN,NNS,VB,NNP,JJR,RBR",389
"x","carry","carried,carries,carrying,carry","VERB,NOUN","VBN,VBZ,VBG,VBD,VB,VBP,NN,NNS",686
"","cartilage","cartilage,Cartilage,CARTILAGE,cartilages,CARTILAGES","NOUN,VERB,PROPN","NN,VB,NNP,NNS",351
"cartilage","cartilaginous","cartilaginous","ADJ,NOUN","JJ,NN",33
"","cascade","cascade,cascades","NOUN","NN,NNS",500
"x","case","cases,case,Cases","NOUN","NNS,NN",360
"","casein","casein,caseins,Casein","VERB,NOUN,ADP,PROPN","VB,NN,NNS,IN,NNP",53
"","caspase","caspase,caspases,Caspases","VERB,NOUN,AUX","VB,NNS,NN,VBP,VBZ,VBD",213
"x","cassette","cassette,cassettes","NOUN","NN,NNS",68
"x","cast","casting,cast,casts,Casts","VERB,NOUN","VBG,NN,NNS",60
"","cat","Cat,cat,cats,cat.","PROPN,NOUN","NNP,NN,NNS",26
"catabolism","catabolic","catabolic","NOUN,ADJ,X","NN,JJ,GW",1559
"","catabolism","catabolism,Catabolism","NOUN","NN",170
"catabolism","catabolite","catabolite,catabolites","NOUN,VERB","NN,NNS,VB",46
"catalysis","catalase","catalases,catalase,Catalase","NOUN","NNS,NN",28
"catalysis","catalysis","catalysis,catalyses,Catalysis,Catalyses","NOUN,VERB,PRON,AUX","NN,VBZ,DT",7499
"catalysis","catalytic","catalytic,Catalytic","ADJ,NOUN","JJ,NN",755
"catalysis","catalytically","catalytically","ADV,ADJ","RB,JJ",42
"catalysis","catalyze","catalyzes,catalyzing,catalyzed,catalyze,Catalyzes,Catalyzing","VERB,NOUN,AUX,SCONJ","VBZ,VBG,VBN,NNS,VBP,VB,VBD,NN,IN",1604
"x","cataract","cataract,cataracts,Cataract,Cataracts,cataract.","NOUN,PROPN,VERB,ADJ","NN,NNS,NNP,VBP,JJS",228
"x","catechol","catechol,Catechol,catechols","NOUN,PROPN,VERB,INTJ","NN,NNP,VB,NNS,UH",73
"x","catecholamine","catecholamine,catecholamines,Catecholamines,CATECHOLAMINES","NOUN,NUM,VERB,PROPN","NN,NNS,CD,VB,NNP",137
"x","categorize","categorized,categorizing,categorizes","VERB","VBN,VBG,VBZ,VBD",35
"x","category","categories,category,Category","NOUN","NNS,NN",44
"","catenin","catenin,catenins","NOUN,ADP,X,VERB","NN,IN,GW,VB,NNS",174
"","cathepsin","cathepsins,cathepsin,Cathepsin,Cathepsins","NOUN,PROPN,ADP","NNS,NN,NNP,IN",29
"x","cation","cation,cations,cation:","NOUN,PUNCT","NN,NNS,:",328
"x","cationic","cationic","ADJ,NOUN,X","JJ,NN,GW",30
"","cattle","cattle,CATTLE","NOUN,PROPN","NNS,NN,NNP",41
"","caudal","caudal","ADJ,NOUN,VERB","JJ,NN,VB",82
"","caudate","caudate","NOUN,VERB","NN,VB",20
"x","causative","causative","ADJ,NOUN","JJ,NN",43
"x","cause","causes,causing,caused,cause,Caused,Causes","VERB,NOUN,SCONJ,ADJ,ADP","VBZ,VBG,VBN,NNS,NN,VB,VBD,IN,VBP,JJ",4157
"","caveolae","caveolae,Caveolae","NOUN,AUX,VERB,PROPN","NN,VBP,NNS,VB,NNP",29
"","caveolin","caveolin,caveolins","NOUN,ADP,VERB","NN,IN,NNS,VB",22
"","cavity","cavity,cavities,CAVITY,CAVITIES,Cavity","NOUN,PROPN","NN,NNS,NNP",478
"x","cavum","cava,cavum,cava.,CAVA","NOUN,PROPN","NN,NNP",50
"x","cease","ceases,cease,ceasing","NOUN,ADJ,VERB","NNS,JJ,VBP,VB,VBG",20
"","cecum","cecum.,cecum","NOUN","NN",22
"","celiac","celiac,Celiac","NOUN,ADJ,VERB","NN,JJ,VB",21
"","cell","cells,cell,Cell,Cells,CELLS","NOUN,VERB,PROPN,ADV","NNS,NN,VB,NNP,VBP,RB,NNPS",29826
"x","celled","celled","VERB,NOUN,ADJ","VBN,NN,JJ",40
"x","cellobiose","cellobiose,Cellobiose","NOUN,VERB,DET,ADJ","NN,VB,DT,JJ",32
"cell","cellular","cellular,Cellular","ADJ,NOUN,VERB,PROPN","JJ,NN,VB,NNP",3096
"","cellulose","cellulose,Cellulose","NOUN,ADJ,PRON,VERB","NN,JJ,DT,VB",98
"x","cementum","cementum,Cementum","NOUN,PROPN","NN,NNP",20
"x","center","center,centers,centered,center.,Centered","NOUN,VERB","NN,NNS,VBN",384
"x","central","central,Central,CENTRAL","ADJ,PROPN,VERB,NOUN","JJ,NNP,VB,NN",1244
"x","centrally","centrally,Centrally","ADV","RB",22
"x","centriolar","centriolar","ADJ,VERB,NOUN","JJ,VB,NN",21
"x","centriole","centrioles,centriole,Centriole,Centrioles","NOUN,ADJ,INTJ","NNS,NN,JJ,UH",115
"","centromere","centromere,centromeres,Centromeres,Centromere","NOUN,ADJ,PRON,VERB,PROPN","NN,JJ,NNS,EX,VB,NNP",126
"centromere","centromeric","centromeric","ADJ,NOUN","JJ,NN",126
"centrosome","centrosomal","centrosomal","ADJ,NOUN","JJ,NN",31
"","centrosome","centrosome,Centrosome,centrosomes,Centrosomes","ADJ,NOUN,DET,VERB,AUX","JJ,NN,DT,NNS,VB,VBZ",187
"x","cephalosporin","cephalosporins,cephalosporin","NOUN,ADP,X,VERB","NNS,NN,IN,GW,VB",27
"x","ceramide","ceramides,ceramide,Ceramides,Ceramide","NOUN,ADJ,VERB","NNS,NN,JJ,VB,VBP,VBZ",133
"cerebellum","cerebellar","cerebellar,Cerebellar","ADJ,NOUN,PROPN,VERB","JJ,NN,NNP,VB",487
"","cerebellum","cerebellum,CEREBELLUM","NOUN,ADJ,VERB,PROPN","NN,JJ,VB,NNP",189
"cerebrum","cerebral","cerebral,CEREBRAL,Cerebral","ADJ,X,NOUN,PROPN","JJ,FW,NN,NNP",529
"","cerebrospinal","Cerebrospinal,cerebrospinal,CEREBROSPINAL","ADJ,PROPN,NOUN","JJ,NNP,NN",219
"","cerebrum","cerebrum","NOUN","NN",45
"","cerevisia","cerevisiae","NOUN,VERB,PROPN,AUX,ADJ","NNS,NN,VBP,NNP,VBD,VB,JJ",256
"","ceroid","ceroid","NOUN,ADJ","NN,JJ",29
"x","certain","certain,Certain","ADJ,VERB,PROPN","JJ,VB,NNP",497
"cervix","cervical","cervical,Cervical,CERVICAL","ADJ,PROPN,NOUN","JJ,NNP,NN",176
"","cervix","cervix,cervix.,CERVIX","NOUN,SYM,ADJ,PROPN","NN,NFP,JJ,NNP",64
"x","cessation","cessation,Cessation","NOUN","NN",35
"","chain","chain,chains,Chains,Chain,chained,chain.","NOUN,VERB,PROPN","NN,NNS,VBZ,VB,NNP,VBD,VBP",2680
"","chamber","chambers,chamber","NOUN","NNS,NN",231
"x","change","changed,change,changing,changes,Changes,Change","VERB,NOUN","VBN,NN,VBG,NNS,VB,VBZ,VBP",3007
"","channel","channels,channel,Channel,channeling,CHANNELS","NOUN,VERB,PROPN","NNS,VBZ,NN,VB,NNP,VBG",1976
"x","chaperone","chaperones,chaperone,Chaperone,chaperoning","NOUN,NUM,PROPN,VERB,ADJ,PRON","NNS,NN,CD,NNP,VBZ,VB,VBG,JJ,PRP",247
"","chaperonin","chaperonin,chaperonins","VERB,NOUN,ADP","VB,NN,IN,NNS",28
"x","characterise","characterised,characterise","VERB,DET","VBN,DT",63
"x","characteristic","characteristic,characteristics,Characteristic,CHARACTERISTICS","NOUN,ADJ,VERB,PROPN","NN,JJ,NNS,VBZ,NNP",3058
"x","characteristically","characteristically","ADV","RB",36
"x","characterize","characterized,characterize,characterizes,Characterized,characterizeds,characterizing","VERB,NOUN","VBN,VBP,VBD,VB,VBZ,NN,NNS,VBG",8084
"x","charge","charged,charges,charge,charging","VERB,NOUN","VBN,NNS,NN,VB,VBP,VBG",162
"","checkpoint","checkpoint,checkpoints,Checkpoints,Checkpoint","NOUN,VERB,PROPN,ADJ","NN,NNS,VB,NNP,JJ,VBD",270
"","cheek","cheek,cheeks","NOUN","NN,NNS",50
"x","chelate","chelating,chelates,chelated,chelate","VERB,NOUN,ADJ","VBG,NN,NNS,VBN,JJ,VB",28
"x","chemical","chemical,chemicals,Chemical,Chemicals","ADJ,NOUN,PROPN","JJ,NN,NNS,NNP",4150
"","chemiosmotic","chemiosmotic","ADJ","JJ",28
"x","chemo","chemo","NOUN,VERB,X","NN,VB,AFX",31
"","chemoattractant","chemoattractant,chemoattractants","ADJ,NOUN","JJ,NN,NNS",32
"","chemokine","chemokine,chemokines,Chemokines,Chemokine","NOUN,NUM,X,VERB,PROPN,INTJ","NN,NNS,CD,GW,VB,NNPS,NNP,UH",593
"","chemoreceptor","chemoreceptors,Chemoreceptors,chemoreceptor","NOUN","NNS,NN",62
"chemotaxi","chemotactic","chemotactic,Chemotactic","NOUN,ADJ","NN,JJ",56
"","chemotaxi","chemotaxis","NOUN","NNS,NN",230
"","chemotherapy","chemotherapy,chemotherapies,Chemotherapy","NOUN,VERB,ADJ,PROPN","NN,NNS,VB,JJ,NNP",26
"","chest","chest,chest.,Chest","NOUN,ADJ","NN,JJS,JJ",181
"","chew","chewed,chewing,chew","VERB,NOUN","VBN,VBG,NN,VB",22
"","chicken","chicken,chickens","NOUN,VERB","NN,VB,NNS",26
"x","chiefly","chiefly","NOUN,ADV","NN,RB",26
"x","child","children,child,Child,CHILDREN,Children","NOUN,PROPN","NNS,NN,NNP",246
"x","childhood","childhood,Childhood","NOUN,PROPN","NN,NNP",394
"x","chill","chilling,chills","NOUN","NN,NNS",46
"","chimeric","chimeric","NOUN,ADJ","NN,JJ",32
"","chin","chin","NOUN","NN",32
"","chiral","chiral","ADJ","JJ",22
"","chitin","chitin,Chitin","NOUN,ADP,VERB","NN,IN,VBN,VB",135
"x","chloride","chloride,chloride:,Chloride","NOUN,ADJ,VERB,SYM","NN,JJ,VB,NFP",284
"x","chlorinate","chlorinated","VERB","VBN",41
"x","chlorine","chlorine,chlorines,Chlorine","NOUN,PROPN","NN,NNS,NNP",24
"x","chloro","chloro","NOUN,NUM,X","NN,CD,FW",62
"x","chlorophenyl","chlorophenyl","NOUN","NN",43
"x","chlorophyll","chlorophyll,chlorophylls","NOUN,ADJ,VERB,AUX","NN,NNS,JJ,VB,MD",112
"x","chlorophyllide","chlorophyllide,chlorophyllides","NOUN,ADP,VERB","NN,NNS,IN,VB,VBD",24
